question,chunk_id,doc_id
What should I click or grab on a node to start making a connection?,build/understand-workflows/workflow-components/connect-nodes-together#0,build/understand-workflows/workflow-components/connect-nodes-together
How do I get to the workflow settings from inside a workflow?,build/manage-workflows/configure-workflow-settings#0,build/manage-workflows/configure-workflow-settings
What do I click in the top-right area to open the workflow settings modal?,build/manage-workflows/configure-workflow-settings#0,build/manage-workflows/configure-workflow-settings
"After opening a workflow, where should I go to find its settings?",build/manage-workflows/configure-workflow-settings#0,build/manage-workflows/configure-workflow-settings
Why do we need to evaluate an AI model instead of just reasoning about it like regular code?,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#1,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
How can you tell whether an LLM is dependable enough for real use?,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#1,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
What kind of test data should you use to build confidence in a model’s performance?,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#1,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
How does information move from one step to the next in a workflow when nodes are linked together?,build/work-with-data/understand-n8ns-data-structure#1,build/work-with-data/understand-n8ns-data-structure
"If a node gets a list of items, does it handle them one by one or all at once?",build/work-with-data/understand-n8ns-data-structure#1,build/work-with-data/understand-n8ns-data-structure
"In the Trello card example, how does the card title get chosen for each incoming item?",build/work-with-data/understand-n8ns-data-structure#1,build/work-with-data/understand-n8ns-data-structure
"What AI topics does this overview section cover, and what kinds of example workflows are included?",build/integrate-ai/ai-examples#0,build/integrate-ai/ai-examples
Where can I find examples that explain the difference between an agent and a chain in n8n?,build/integrate-ai/ai-examples#0,build/integrate-ai/ai-examples
"How does the docs section describe using n8n workflows as tools, and what use cases are shown for that?",build/integrate-ai/ai-examples#0,build/integrate-ai/ai-examples
"How do I change specific parts of a DateTime, like the year or month, without rebuilding the whole value?",build/work-with-data/transform-data/expression-reference/datetime#20,build/work-with-data/transform-data/expression-reference/datetime
Which fields can I pass into `DateTime.set()` to update a date or time?,build/work-with-data/transform-data/expression-reference/datetime#20,build/work-with-data/transform-data/expression-reference/datetime
"Does `DateTime.set()` give me back another DateTime, and what would a simple usage example look like?",build/work-with-data/transform-data/expression-reference/datetime#20,build/work-with-data/transform-data/expression-reference/datetime
How should I phrase a prompt so the AI returns only the first name and job title from each person in the mock data?,build/code-in-n8n/get-coding-help-from-ai#4,build/code-in-n8n/get-coding-help-from-ai
What’s the best way to tell the AI to use nested fields from incoming data when writing the Code node?,build/code-in-n8n/get-coding-help-from-ai#4,build/code-in-n8n/get-coding-help-from-ai
"How can I ask the AI to build a Slack summary that counts ideas, features, and bugs and lists the five most voted submissions?",build/code-in-n8n/get-coding-help-from-ai#4,build/code-in-n8n/get-coding-help-from-ai
How should I tell the AI what the incoming data means and which fields it should read?,build/code-in-n8n/get-coding-help-from-ai#2,build/code-in-n8n/get-coding-help-from-ai
"If my code needs data from more than one node, what do I need to specify so the AI combines them correctly?",build/code-in-n8n/get-coding-help-from-ai#2,build/code-in-n8n/get-coding-help-from-ai
What should I watch for to make sure the code the AI writes will work with n8n's data format?,build/code-in-n8n/get-coding-help-from-ai#2,build/code-in-n8n/get-coding-help-from-ai
Why can adding an evaluation node make the internal chat stop showing the expected reply?,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#2,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
How can I keep the chat output intact when I need to add evaluation to a workflow?,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#2,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
"Why would I add another branch from the agent, and why should that branch contain only a pass-through step?",build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#2,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
How do I select multiple nodes so I can turn them into a group?,build/understand-workflows/workflow-components/canvas-groups#1,build/understand-workflows/workflow-components/canvas-groups
What’s the shortcut or toolbar action for creating a group from selected nodes?,build/understand-workflows/workflow-components/canvas-groups#1,build/understand-workflows/workflow-components/canvas-groups
"After I make a canvas group, what happens next so I can name it?",build/understand-workflows/workflow-components/canvas-groups#1,build/understand-workflows/workflow-components/canvas-groups
How should I structure my prompt so the AI Assistant can build a workflow with fewer back-and-forth edits?,build/ways-of-building-workflows/ai-assistant-preview#3,build/ways-of-building-workflows/ai-assistant-preview
"What details should I include about the workflow’s trigger, connected apps, and data handling when I ask the AI Assistant to create it?",build/ways-of-building-workflows/ai-assistant-preview#3,build/ways-of-building-workflows/ai-assistant-preview
"What success, failure, and publishing instructions should I mention in a prompt to the AI Assistant?",build/ways-of-building-workflows/ai-assistant-preview#3,build/ways-of-building-workflows/ai-assistant-preview
"How do I hash a string in n8n, and what does the method return?",build/work-with-data/transform-data/expression-reference/string#7,build/work-with-data/transform-data/expression-reference/string
"Which hash algorithms can I pass to the string hashing function, and is one used by default if I leave it out?",build/work-with-data/transform-data/expression-reference/string#7,build/work-with-data/transform-data/expression-reference/string
What happens if I call the string hash function without giving an algorithm?,build/work-with-data/transform-data/expression-reference/string#7,build/work-with-data/transform-data/expression-reference/string
How do I reference a custom variable inside a Code node or an expression?,build/code-in-n8n/define-custom-variables#2,build/code-in-n8n/define-custom-variables
What happens in a workflow if a variable doesn't have a value set?,build/code-in-n8n/define-custom-variables#2,build/code-in-n8n/define-custom-variables
"If a project-level variable and a global one use the same name, which one is used?",build/code-in-n8n/define-custom-variables#2,build/code-in-n8n/define-custom-variables
What does n8n mean by a node being marked as dirty?,build/understand-workflows/understand-executions/understand-dirty-nodes#0,build/understand-workflows/understand-executions/understand-dirty-nodes
Why would a node be considered stale or unreliable even if it ran successfully before?,build/understand-workflows/understand-executions/understand-dirty-nodes#0,build/understand-workflows/understand-executions/understand-dirty-nodes
Can a dirty node be used as the starting point for a partial execution?,build/understand-workflows/understand-executions/understand-dirty-nodes#0,build/understand-workflows/understand-executions/understand-dirty-nodes
Which extra features do Cloud Enterprise and Self-hosted Enterprise get compared with the Community edition?,get-started/choose-how-to-use-n8n#5,get-started/choose-how-to-use-n8n
What does the feature that lets me work with execution data in the editor actually do?,get-started/choose-how-to-use-n8n#5,get-started/choose-how-to-use-n8n
"Where can I check which features are included in the Cloud Starter, Pro, and Business plans?",get-started/choose-how-to-use-n8n#5,get-started/choose-how-to-use-n8n
How do I add a time period to a DateTime value with this function?,build/work-with-data/transform-data/expression-reference/datetime#17,build/work-with-data/transform-data/expression-reference/datetime
Which time units can I pass when increasing a DateTime here?,build/work-with-data/transform-data/expression-reference/datetime#17,build/work-with-data/transform-data/expression-reference/datetime
Can I add several units at once by giving this method a duration object?,build/work-with-data/transform-data/expression-reference/datetime#17,build/work-with-data/transform-data/expression-reference/datetime
How do I switch a Canvas Group between collapsed and expanded views?,build/understand-workflows/workflow-components/canvas-groups#3,build/understand-workflows/workflow-components/canvas-groups
What happens to a Canvas Group when I collapse it in the canvas?,build/understand-workflows/workflow-components/canvas-groups#3,build/understand-workflows/workflow-components/canvas-groups
Does n8n remember which Canvas Groups I expanded after I close and reopen the workflow?,build/understand-workflows/workflow-components/canvas-groups#3,build/understand-workflows/workflow-components/canvas-groups
What does `$input.params` give you in an n8n node?,build/work-with-data/transform-data/expression-reference/nodeinputdata#3,build/work-with-data/transform-data/expression-reference/nodeinputdata
What kind of information is stored in the current node’s parameters?,build/work-with-data/transform-data/expression-reference/nodeinputdata#3,build/work-with-data/transform-data/expression-reference/nodeinputdata
"In n8n, what do you use to access the settings you configured for the node?",build/work-with-data/transform-data/expression-reference/nodeinputdata#3,build/work-with-data/transform-data/expression-reference/nodeinputdata
How can I use JMESPath to pull both first and last names from an array of people into a new nested list?,build/work-with-data/handle-special-data-types/query-json-data#5,build/work-with-data/handle-special-data-types/query-json-data
What would the returned data look like if I build a new list from each person's first and last name in a Code node?,build/work-with-data/handle-special-data-types/query-json-data#5,build/work-with-data/handle-special-data-types/query-json-data
"Is there a way to do the same people-name selection in both JavaScript and Python expressions, and what does the result look like?",build/work-with-data/handle-special-data-types/query-json-data#5,build/work-with-data/handle-special-data-types/query-json-data
How can I retrieve every record from an earlier node and loop through them in a code step?,build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all#1,build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all
"In Python, what’s the right way to turn each item from a prior node into a normal dictionary before printing it?",build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all#1,build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all
"What does the all() method return for a previous node, and how do I access the JSON data from each item?",build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all#1,build/code-in-n8n/cookbook/built-in-methods-and-variables-examples/(node-name).all
"If someone sends me a workflow but not the login details it uses, what parts am I allowed to change?",build/manage-workflows/share-with-others#4,build/manage-workflows/share-with-others
Can I still open and execute a shared workflow when the needed credentials weren’t shared with me?,build/manage-workflows/share-with-others#4,build/manage-workflows/share-with-others
Which nodes in a shared workflow are locked for editing if I don’t have access to the underlying credentials?,build/manage-workflows/share-with-others#4,build/manage-workflows/share-with-others
How can I start using n8n if I want the hosted cloud version?,get-started/choose-how-to-use-n8n#3,get-started/choose-how-to-use-n8n
Where do I find the setup instructions if I want to run n8n on my own server?,get-started/choose-how-to-use-n8n#3,get-started/choose-how-to-use-n8n
How do I unlock additional features for a Community Edition instance?,get-started/choose-how-to-use-n8n#3,get-started/choose-how-to-use-n8n
How can I round a number up or down to the nearest whole number in expressions?,build/work-with-data/transform-data/expression-reference#18,build/work-with-data/transform-data/expression-reference
"Which number helpers tell me whether a value is even, odd, or a whole number?",build/work-with-data/transform-data/expression-reference#18,build/work-with-data/transform-data/expression-reference
Is there a built-in way to format a number for a specific locale or currency?,build/work-with-data/transform-data/expression-reference#18,build/work-with-data/transform-data/expression-reference
How do I add the NASA node to my workflow and choose the solar flare report operation?,get-started/build-your-first-workflow#4,get-started/build-your-first-workflow
What do I need to do to create NASA API credentials in n8n and connect them to the node?,get-started/build-your-first-workflow#4,get-started/build-your-first-workflow
"If I only want solar flare data from the last seven days, where do I change that setting?",get-started/build-your-first-workflow#4,get-started/build-your-first-workflow
Which n8n plans include workflow sharing?,build/manage-workflows/share-with-others#0,build/manage-workflows/share-with-others
"Can I share a workflow with other users in the same n8n instance, and who’s allowed to do that?",build/manage-workflows/share-with-others#0,build/manage-workflows/share-with-others
Which users are able to view and share every workflow in an instance?,build/manage-workflows/share-with-others#0,build/manage-workflows/share-with-others
How do I add a hyperlink in this notes section?,build/understand-workflows/workflow-components/add-notes-and-documentation#5,build/understand-workflows/workflow-components/add-notes-and-documentation
What are the ways to make bulleted or numbered lists here?,build/understand-workflows/workflow-components/add-notes-and-documentation#5,build/understand-workflows/workflow-components/add-notes-and-documentation
Which markdown standard and renderer does n8n use for documentation notes?,build/understand-workflows/workflow-components/add-notes-and-documentation#5,build/understand-workflows/workflow-components/add-notes-and-documentation
"How can I read or set custom metadata for a workflow execution, and is there another node that can do the same thing?",build/work-with-data/transform-data/expression-reference#14,build/work-with-data/transform-data/expression-reference
What does `$exec.id` return?,build/work-with-data/transform-data/expression-reference#14,build/work-with-data/transform-data/expression-reference
"What are the possible execution modes, and how can I tell whether a run came from a manual test, an automatic trigger, or a workflow evaluation?",build/work-with-data/transform-data/expression-reference#14,build/work-with-data/transform-data/expression-reference
"What’s the difference between an AI agent and an AI chain in n8n, especially when it comes to remembering earlier context?",get-started/key-concept-glossary#0,get-started/key-concept-glossary
"How would you describe embeddings, and what are vector databases used for?",get-started/key-concept-glossary#0,get-started/key-concept-glossary
"In a RAG setup, what do grounded and ungrounded responses mean?",get-started/key-concept-glossary#0,get-started/key-concept-glossary
How do I make two different triggers feed into one path when their outputs have different shapes?,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#1,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
What’s the process for copying one trigger’s output format and using it to reshape data from another trigger?,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#1,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
"Why would I put a No-op node after two trigger branches, and how does that help later in the workflow?",build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues#1,build/integrate-ai/test-and-improve-ai-workflows/fix-common-issues
How can I flip the order of items in an array in n8n?,build/work-with-data/transform-data/expression-reference/array#26,build/work-with-data/transform-data/expression-reference/array
What does the array reverse function return when it runs?,build/work-with-data/transform-data/expression-reference/array#26,build/work-with-data/transform-data/expression-reference/array
"Can you show an example of using reverse on a list like ['dog', 'bites', 'man']?",build/work-with-data/transform-data/expression-reference/array#26,build/work-with-data/transform-data/expression-reference/array
How can I check a workflow against a few sample cases during early development without setting up full scoring metrics?,build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations#0,build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations
"What does a light evaluation do with the examples in a test dataset, and how are the results stored?",build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations#0,build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations
"After running a light evaluation, how can I review the outputs and compare them with the expected results?",build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations#0,build/integrate-ai/test-and-improve-ai-workflows/run-quick-evaluations
How do I combine a base array with one or more other arrays using the Array concat method?,build/work-with-data/transform-data/expression-reference/array#4,build/work-with-data/transform-data/expression-reference/array
What does Array.concat return when you pass in additional arrays?,build/work-with-data/transform-data/expression-reference/array#4,build/work-with-data/transform-data/expression-reference/array
"Can Array.concat take more than two arrays, and if so, how are they added?",build/work-with-data/transform-data/expression-reference/array#4,build/work-with-data/transform-data/expression-reference/array
"How can I tell which node produced the current item, especially if the node has more than one input?",build/work-with-data/transform-data/expression-reference#22,build/work-with-data/transform-data/expression-reference
How do I find out which output branch the incoming data came from when the previous node had multiple outputs?,build/work-with-data/transform-data/expression-reference#22,build/work-with-data/transform-data/expression-reference
How can I check which execution run of the prior node created the data I’m working with?,build/work-with-data/transform-data/expression-reference#22,build/work-with-data/transform-data/expression-reference
What are the different ways to create and manage a data table in n8n?,build/work-with-data/data-tables#1,build/work-with-data/data-tables
How can I work with data tables inside a workflow or through the API?,build/work-with-data/data-tables#1,build/work-with-data/data-tables
"If I want to set up a table from the UI, how do I create one and what options do I have for building it?",build/work-with-data/data-tables#1,build/work-with-data/data-tables
What data concepts should I understand before working on flow logic in n8n?,build/flow-logic#0,build/flow-logic
Which part of the docs explains how n8n data is organized and moves inside nodes?,build/flow-logic#0,build/flow-logic
What built-in node types do I use when putting together workflow logic?,build/flow-logic#0,build/flow-logic
"Does the Number isEmpty() method ever return true for a real numeric value, like 0 or 10?",build/work-with-data/transform-data/expression-reference/number#4,build/work-with-data/transform-data/expression-reference/number
What does Number.isEmpty() return when the value is null?,build/work-with-data/transform-data/expression-reference/number#4,build/work-with-data/transform-data/expression-reference/number
How does isEmpty() behave for numbers compared with null?,build/work-with-data/transform-data/expression-reference/number#4,build/work-with-data/transform-data/expression-reference/number
How does a vector database represent the information it stores?,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors#0,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors
Why are vector databases useful for finding similar items quickly and accurately?,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors#0,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors
How is searching in a vector database different from using a traditional database query?,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors#0,build/integrate-ai/understand-ai-components/store-and-search-data-with-vectors
How do I get rid of repeated values in an array with this method?,build/work-with-data/transform-data/expression-reference/array#24,build/work-with-data/transform-data/expression-reference/array
"If my array contains objects, can I limit duplicate checking to specific fields?",build/work-with-data/transform-data/expression-reference/array#24,build/work-with-data/transform-data/expression-reference/array
What does this function return after removing repeats from the list?,build/work-with-data/transform-data/expression-reference/array#24,build/work-with-data/transform-data/expression-reference/array
How can a Tools Agent get the right values for a tool’s inputs from the AI model instead of me setting them manually?,build/integrate-ai/ai-examples/use-ai-for-parameters#0,build/integrate-ai/ai-examples/use-ai-for-parameters
What does the AI use to figure out the missing details for connected tools?,build/integrate-ai/ai-examples/use-ai-for-parameters#0,build/integrate-ai/ai-examples/use-ai-for-parameters
"Are there different ways to let the AI populate tool settings, and can I switch between them?",build/integrate-ai/ai-examples/use-ai-for-parameters#0,build/integrate-ai/ai-examples/use-ai-for-parameters
How does information move through a workflow in n8n from one step to the next?,build/work-with-data/overview#0,build/work-with-data/overview
What happens to data at each node in an n8n workflow?,build/work-with-data/overview#0,build/work-with-data/overview
Why is it important to understand the way data changes as it passes through a workflow?,build/work-with-data/overview#0,build/work-with-data/overview
"How does `Array.find()` decide which item to return, and what does it give back if nothing matches?",build/work-with-data/transform-data/expression-reference/array#7,build/work-with-data/transform-data/expression-reference/array
When would I use `find()` instead of `filter()` on an array?,build/work-with-data/transform-data/expression-reference/array#7,build/work-with-data/transform-data/expression-reference/array
"What arguments can I pass to the callback in `Array.find()`, and are any of them optional?",build/work-with-data/transform-data/expression-reference/array#7,build/work-with-data/transform-data/expression-reference/array
What has to be true about the trigger node before a workflow can actually stream responses?,build/understand-workflows/understand-executions/stream-real-time-responses#2,build/understand-workflows/understand-executions/stream-real-time-responses
"If streaming is turned on at the trigger but none of the other nodes are set up for streaming, what happens?",build/understand-workflows/understand-executions/stream-real-time-responses#2,build/understand-workflows/understand-executions/stream-real-time-responses
"Does enabling streaming on the trigger alone make the workflow send streamed data, or do I need to configure something else too?",build/understand-workflows/understand-executions/stream-real-time-responses#2,build/understand-workflows/understand-executions/stream-real-time-responses
When should we add a human approval step before an AI tool runs?,build/integrate-ai/ai-examples/human-in-the-loop-for-tools#1,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
Can we require review only for certain connected tools instead of blocking all agent output?,build/integrate-ai/ai-examples/human-in-the-loop-for-tools#1,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
What kinds of tool actions or business cases make human oversight especially important?,build/integrate-ai/ai-examples/human-in-the-loop-for-tools#1,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
How can I set up one workflow to run inside another in n8n?,build/flow-logic/break-workflows-into-smaller-parts#0,build/flow-logic/break-workflows-into-smaller-parts
What are the main reasons to split a big workflow into smaller sub-workflows?,build/flow-logic/break-workflows-into-smaller-parts#0,build/flow-logic/break-workflows-into-smaller-parts
Do runs of sub-workflows count against my plan’s monthly executions or active workflow limit?,build/flow-logic/break-workflows-into-smaller-parts#0,build/flow-logic/break-workflows-into-smaller-parts
What role do nodes play in building an n8n workflow?,build/understand-workflows/workflow-components/work-with-nodes#4,build/understand-workflows/workflow-components/work-with-nodes
How does an n8n workflow start running and what happens after it starts?,build/understand-workflows/workflow-components/work-with-nodes#4,build/understand-workflows/workflow-components/work-with-nodes
"Do all production workflows in n8n need a trigger, and if so, why?",build/understand-workflows/workflow-components/work-with-nodes#4,build/understand-workflows/workflow-components/work-with-nodes
How can I build an expression that shows how many days are left until Christmas using Luxon and n8n's current-date variable?,build/work-with-data/handle-special-data-types/work-with-dates-and-times#10,build/work-with-data/handle-special-data-types/work-with-dates-and-times
Why does the example convert the date difference to an object and then pick the days field before turning it into text?,build/work-with-data/handle-special-data-types/work-with-dates-and-times#10,build/work-with-data/handle-special-data-types/work-with-dates-and-times
What does the snippet do with the negative day count so the final message reads as a positive number of days remaining?,build/work-with-data/handle-special-data-types/work-with-dates-and-times#10,build/work-with-data/handle-special-data-types/work-with-dates-and-times
How do I have the AI Agent populate a tool parameter for me without typing anything else?,build/integrate-ai/ai-examples/use-ai-for-parameters#1,build/integrate-ai/ai-examples/use-ai-for-parameters
"What happens in the parameter field after I use the automatic fill option, and how can I switch it back to editing it myself?",build/integrate-ai/ai-examples/use-ai-for-parameters#1,build/integrate-ai/ai-examples/use-ai-for-parameters
"If I already entered a manual value for a tool parameter, does using the AI fill feature replace it?",build/integrate-ai/ai-examples/use-ai-for-parameters#1,build/integrate-ai/ai-examples/use-ai-for-parameters
What were the main things I learned while building this workflow?,get-started/build-your-first-workflow#12,get-started/build-your-first-workflow
"What could I add next to make this workflow more useful, like sending the results somewhere?",get-started/build-your-first-workflow#12,get-started/build-your-first-workflow
"If I want to keep going after finishing this workflow, what resources should I use next?",get-started/build-your-first-workflow#12,get-started/build-your-first-workflow
"What’s the purpose of running evaluations on an AI workflow, both while building it and after it’s live?",build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#0,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
What does a test dataset for an evaluation usually include?,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#0,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
How can evaluations help you improve or compare a workflow without accidentally breaking other cases?,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test#0,build/integrate-ai/test-and-improve-ai-workflows/understand-why-to-test
"Why do I get an invalid JSON Output error in item 0, and how can I fix it?",build/work-with-data/transform-data/expressions-for-data-transformation#3,build/work-with-data/transform-data/expressions-for-data-transformation
"What does the ""Can't get data for expression"" error usually mean in n8n?",build/work-with-data/transform-data/expressions-for-data-transformation#3,build/work-with-data/transform-data/expressions-for-data-transformation
How do I troubleshoot an expression that points to a node that hasn't run yet?,build/work-with-data/transform-data/expressions-for-data-transformation#3,build/work-with-data/transform-data/expressions-for-data-transformation
What are the main ways to get started with n8n from the docs home page?,get-started#0,get-started
Which topics does the docs overview recommend for learning how to build an automation and understand the core ideas?,get-started#0,get-started
"What AI coding or desktop tools can be connected to the n8n MCP server, and how do you add them?",get-started#0,get-started
How do I get the final item produced by a node with the `$().last()` helper?,build/work-with-data/transform-data/expression-reference/nodeoutputdata#4,build/work-with-data/transform-data/expression-reference/nodeoutputdata
What arguments can I pass to `$().last()` to pick a specific branch or execution run?,build/work-with-data/transform-data/expression-reference/nodeoutputdata#4,build/work-with-data/transform-data/expression-reference/nodeoutputdata
"If I don't supply any options to `$().last()`, which branch and run does it use by default?",build/work-with-data/transform-data/expression-reference/nodeoutputdata#4,build/work-with-data/transform-data/expression-reference/nodeoutputdata
"How does `indexOf()` tell me where a value is in an array, and what does it return if the value isn't there?",build/work-with-data/transform-data/expression-reference/array#10,build/work-with-data/transform-data/expression-reference/array
"What arguments do I pass to `Array.indexOf`, and is there a way to start searching from a specific position?",build/work-with-data/transform-data/expression-reference/array#10,build/work-with-data/transform-data/expression-reference/array
Do array positions in `indexOf()` begin with 0 or 1?,build/work-with-data/transform-data/expression-reference/array#10,build/work-with-data/transform-data/expression-reference/array
How can I rename an existing tag in n8n?,build/manage-workflows/tag-workflows#2,build/manage-workflows/tag-workflows
Who is allowed to remove tags from an n8n instance?,build/manage-workflows/tag-workflows#2,build/manage-workflows/tag-workflows
"If I change or delete a tag, does that affect only my workflows or everyone using the instance?",build/manage-workflows/tag-workflows#2,build/manage-workflows/tag-workflows
How can I find out how many items are in an array in n8n expressions?,build/work-with-data/transform-data/expression-reference/array#16,build/work-with-data/transform-data/expression-reference/array
What does the array length property return?,build/work-with-data/transform-data/expression-reference/array#16,build/work-with-data/transform-data/expression-reference/array
Can you show an example of using an array’s length to get the count of elements?,build/work-with-data/transform-data/expression-reference/array#16,build/work-with-data/transform-data/expression-reference/array
"How do I add one or more items to the end of an array with the n8n Array helper, and what does it return?",build/work-with-data/transform-data/expression-reference/array#0,build/work-with-data/transform-data/expression-reference/array
"Is the array append method basically the same as push, or does it behave differently?",build/work-with-data/transform-data/expression-reference/array#0,build/work-with-data/transform-data/expression-reference/array
"What argument order does Array.append take, and can I pass multiple optional values?",build/work-with-data/transform-data/expression-reference/array#0,build/work-with-data/transform-data/expression-reference/array
What are the main parts included in the workflow components section?,build/understand-workflows/workflow-components#0,build/understand-workflows/workflow-components
"What do nodes, connections, sticky notes, and canvas groups each help you do?",build/understand-workflows/workflow-components#0,build/understand-workflows/workflow-components
Which workflow component is used for organizing related nodes on the canvas?,build/understand-workflows/workflow-components#0,build/understand-workflows/workflow-components
"How do data tables and variables differ in the way they handle structured, row-and-column data versus individual values?",build/work-with-data/data-tables#4,build/work-with-data/data-tables
"Which of the two can be reused across projects, and which one is limited to a single project?",build/work-with-data/data-tables#4,build/work-with-data/data-tables
"If I want to reference values in expressions or store short pieces of data, should I use variables or data tables?",build/work-with-data/data-tables#4,build/work-with-data/data-tables
How do I open the place where I can configure tool approvals for an AI Agent workflow?,build/integrate-ai/ai-examples/human-in-the-loop-for-tools#3,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
"What are the steps to set up a manual approval step for tools, including choosing the approval method and configuring it?",build/integrate-ai/ai-examples/human-in-the-loop-for-tools#3,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
"Once I’ve added a review step, how do I attach the tools that should go through approval?",build/integrate-ai/ai-examples/human-in-the-loop-for-tools#3,build/integrate-ai/ai-examples/human-in-the-loop-for-tools
How do I set a credential value from workflow data instead of typing it in manually?,build/understand-workflows/create-and-edit-credentials#3,build/understand-workflows/create-and-edit-credentials
What needs to be in place before I can reference a credential value with an expression in a workflow?,build/understand-workflows/create-and-edit-credentials#3,build/understand-workflows/create-and-edit-credentials
What are the steps to turn on expression mode when configuring a credential field?,build/understand-workflows/create-and-edit-credentials#3,build/understand-workflows/create-and-edit-credentials
"What does data pinning do in n8n, and how does it affect workflow runs in development versus production?",get-started/key-concept-glossary#3,get-started/key-concept-glossary
"How is the n8n editor organized, and where do you build workflows versus access things like credentials or executions?",get-started/key-concept-glossary#3,get-started/key-concept-glossary
"What are entitlements in n8n, and what is a floating entitlement used for?",get-started/key-concept-glossary#3,get-started/key-concept-glossary
Which n8n plans let me access the full workflow history feature?,build/manage-workflows/view-change-history#0,build/manage-workflows/view-change-history
